Unnamed: 0,Unnamed: 1,Sample Data - Power BI,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,0,0,0,2021-12-24 00:00:00,1085,50,49
,,0,0,0,2021-12-24 00:00:00,1085,50,49
,,0,0,0,2021-12-24 00:00:00,1085,50,49
,,0,0,0,2021-12-24 00:00:00,1085,50,49
,,0,0,0,2021-12-24 00:00:00,1085,50,49
,,0,0,0,2021-12-24 00:00:00,1085,50,49
,,0,0,0,2021-12-24 00:00:00,1085,50,49
,,0,0,0,2021-12-24 00:00:00,1085,50,49
,,0,0,0,2021-12-24 00:00:00,1085,50,49
,,23,20,18,Date,Amount,Customers,Boxes
,,1,9,19,2021-01-01 00:00:00,8414,276,495
,,7,1,22,2021-01-01 00:00:00,532,317,54
,,15,5,3,2021-01-01 00:00:00,5376,178,269
,,1,22,6,2021-01-01 00:00:00,259,32,22
,,2,5,12,2021-01-01 00:00:00,5530,4,179
,,21,2,2,2021-01-01 00:00:00,2184,63,122
,,20,4,19,2021-01-01 00:00:00,1057,295,71
,,8,6,16,2021-01-01 00:00:00,1036,370,37
,,3,6,7,2021-01-01 00:00:00,4039,536,176
,,6,22,13,2021-01-01 00:00:00,12894,115,478
,,17,17,13,2021-01-01 00:00:00,4669,121,180
,,25,3,16,2021-01-01 00:00:00,6377,184,246
,,13,1,14,2021-01-01 00:00:00,4599,106,256
,,13,24,15,2021-01-01 00:00:00,2751,228,251
,,3,8,10,2021-01-01 00:00:00,15596,32,975
,,6,2,4,2021-01-01 00:00:00,8561,111,330
,,4,16,14,2021-01-01 00:00:00,14273,335,752
,,7,15,2,2021-01-01 00:00:00,2506,99,148
,,2,19,21,2021-01-01 00:00:00,2387,134,89
,,0,5,9,2021-01-01 00:00:00,7553,67,280
,,13,3,17,2021-01-01 00:00:00,3409,93,171
,,16,5,17,2021-01-01 00:00:00,3878,24,216
,,15,11,19,2021-01-01 00:00:00,3052,76,204
,,17,17,8,2021-01-04 00:00:00,19229,64,1013
,,16,10,8,2021-01-04 00:00:00,1988,179,95
,,15,23,15,2021-01-04 00:00:00,147,9,11
,,20,10,11,2021-01-04 00:00:00,2401,407,134
,,11,5,7,2021-01-04 00:00:00,2814,296,94
,,6,10,7,2021-01-04 00:00:00,5390,61,216
,,24,19,0,2021-01-04 00:00:00,3920,16,262
,,2,19,1,2021-01-04 00:00:00,7539,502,943
,,24,8,16,2021-01-05 00:00:00,17248,163,664
,,17,10,5,2021-01-05 00:00:00,1176,152,66
,,21,12,2,2021-01-05 00:00:00,9730,361,573
,,19,3,2,2021-01-05 00:00:00,2226,129,140
,,17,23,11,2021-01-05 00:00:00,7063,250,643
,,14,22,4,2021-01-05 00:00:00,7399,420,275
,,25,17,15,2021-01-05 00:00:00,4284,230,306
,,14,3,19,2021-01-05 00:00:00,4865,168,271
,,6,9,1,2021-01-05 00:00:00,3780,111,315
,,12,14,15,2021-01-05 00:00:00,3059,484,279
,,11,10,4,2021-01-05 00:00:00,6622,57,276
,,25,21,20,2021-01-06 00:00:00,644,116,34
,,5,21,4,2021-01-06 00:00:00,4935,87,171
,,12,23,17,2021-01-06 00:00:00,7182,29,378
,,0,0,15,2021-01-06 00:00:00,539,10,77
,,20,4,1,2021-01-06 00:00:00,637,79,91
,,14,24,6,2021-01-06 00:00:00,1470,57,184
,,3,11,2,2021-01-06 00:00:00,1442,108,61
,,11,11,20,2021-01-06 00:00:00,9023,224,564
,,10,16,13,2021-01-06 00:00:00,2709,27,101
,,2,7,8,2021-01-07 00:00:00,5733,193,338
